frame,track_id,event,det_x1,det_y1,det_x2,det_y2,confidence,source,zone,state,missed_frames,pred_cx,pred_cy,actual_cx,actual_cy,distance_error,scale_ratio,track_identity_confidence,matched_track_id,association_cost
7,3,RECOVERED,913.7,274.6,922.2,293.1,0.926,NONE,FAR,Confirmed,0,917.9,283.8,917.9,283.9,0.05,1.00,0.95,2,-0.030
7,4,RECOVERED,128.4,428.6,155.7,464.4,0.668,NONE,MEDIUM,Confirmed,0,141.2,447.1,142.0,446.5,1.04,1.00,0.85,6,0.350
7,5,LOST,0.0,0.0,0.0,0.0,0.712,NONE,MEDIUM,Lost,1,721.4,433.7,721.4,433.7,0.00,1.03,0.95,-1,-0.013
7,6,LOST,0.0,0.0,0.0,0.0,0.712,NONE,MEDIUM,Lost,1,657.0,429.7,657.0,429.7,0.00,1.09,0.95,-1,-0.003
7,7,MATCHED,825.3,383.4,849.2,421.8,0.680,NONE,MEDIUM,Confirmed,0,837.3,402.7,837.3,402.6,0.07,1.00,1.00,5,-0.016
7,8,MATCHED,856.9,401.6,880.7,439.9,0.652,NONE,MEDIUM,Confirmed,0,869.3,421.2,868.8,420.8,0.67,1.00,1.00,7,0.074
7,10,MATCHED,855.3,316.7,869.1,339.0,0.990,NONE,MEDIUM,Confirmed,0,862.0,327.7,862.2,327.8,0.24,1.00,1.00,1,-0.059
7,11,RECOVERED,443.9,330.6,460.1,347.9,0.990,NONE,MEDIUM,Confirmed,0,451.1,340.0,452.0,339.2,1.14,1.00,0.95,0,0.026
7,14,LOST,0.0,0.0,0.0,0.0,0.556,NONE,MEDIUM,Lost,1,318.8,368.6,318.8,368.6,0.00,1.10,0.75,-1,0.231
7,17,MATCHED,262.3,365.8,285.1,398.8,0.280,NONE,MEDIUM,Confirmed,0,273.4,383.1,273.7,382.3,0.88,1.00,0.90,14,0.059
7,19,MISSED,0.0,0.0,0.0,0.0,0.327,NONE,MEDIUM,Candidate,2,636.2,314.2,636.2,314.2,0.00,1.00,0.40,-1,0.000
